frequency	gain
3.388441561392003e+008	3.920110e+002
3.467368504525293e+008	3.920865e+002
3.548133892335731e+008	3.921653e+002
3.630780547700989e+008	3.922478e+002
3.715352290971701e+008	3.923340e+002
3.801893963205587e+008	3.924240e+002
3.890451449942780e+008	3.925182e+002
3.981071705534946e+008	3.926165e+002
4.073802778041100e+008	3.927193e+002
4.168693834703326e+008	3.928268e+002
4.265795188015897e+008	3.929390e+002
4.365158322401630e+008	3.930563e+002
4.466835921509600e+008	3.931788e+002
4.570881896148719e+008	3.933068e+002
4.677351412871949e+008	3.934404e+002
4.786300923226350e+008	3.935800e+002
4.897788193684428e+008	3.937257e+002
5.011872336272688e+008	3.938779e+002
5.128613839913613e+008	3.940368e+002
5.248074602497689e+008	3.942026e+002
5.370317963702489e+008	3.943756e+002
5.495408738576206e+008	3.945562e+002
5.623413251903451e+008	3.947445e+002
5.754399373371528e+008	3.949409e+002
5.888436553555847e+008	3.951458e+002
6.025595860743535e+008	3.953593e+002
6.165950018614777e+008	3.955818e+002
6.309573444801887e+008	3.958136e+002
6.456542290346509e+008	3.960550e+002
6.606934480075913e+008	3.963063e+002
6.760829753919768e+008	3.965679e+002
6.918309709189314e+008	3.968399e+002
7.079457843841326e+008	3.971227e+002
7.244359600749847e+008	3.974166e+002
7.413102413009120e+008	3.977217e+002
7.585775750291781e+008	3.980384e+002
7.762471166286860e+008	3.983667e+002
7.943282347242756e+008	3.987070e+002
8.128305161640931e+008	3.990592e+002
8.317637711026647e+008	3.994234e+002
8.511380382023701e+008	3.997997e+002
8.709635899560740e+008	4.001880e+002
8.912509381337388e+008	4.005882e+002
9.120108393559028e+008	4.010000e+002
9.332543007969840e+008	4.014231e+002
9.549925860214287e+008	4.018570e+002
9.772372209558033e+008	4.023012e+002
9.999999999999924e+008	4.027548e+002
1.023292992280746e+009	4.032170e+002
1.047128548050892e+009	4.036866e+002
1.071519305237598e+009	4.041624e+002
1.096478196143177e+009	4.046425e+002
1.122018454301955e+009	4.051253e+002
1.148153621496874e+009	4.056086e+002
1.174897554939520e+009	4.060897e+002
1.202264434617404e+009	4.065658e+002
1.230268770812372e+009	4.070336e+002
1.258925411794157e+009	4.074893e+002
1.288249551693124e+009	4.079286e+002
1.318256738556397e+009	4.083467e+002
1.348962882591643e+009	4.087384e+002
1.380384264602874e+009	4.090974e+002
1.412537544622743e+009	4.094173e+002
1.445439770745916e+009	4.096905e+002
1.479108388168196e+009	4.099090e+002
1.513561248436196e+009	4.100638e+002
1.548816618912469e+009	4.101453e+002
1.584893192461101e+009	4.101428e+002
1.621810097358917e+009	4.100449e+002
1.659586907437547e+009	4.098394e+002
1.698243652461730e+009	4.095133e+002
1.737800828749361e+009	4.090526e+002
1.778279410038908e+009	4.084427e+002
1.819700858609968e+009	4.076683e+002
1.862087136662852e+009	4.067136e+002
1.905460717963231e+009	4.055622e+002
1.949844599758029e+009	4.041975e+002
1.995262314968863e+009	4.026028e+002
2.041737944669512e+009	4.007614e+002
2.089296130854022e+009	3.986570e+002
2.137962089502214e+009	3.962738e+002
2.187761623949534e+009	3.935968e+002
2.238721138568320e+009	3.906122e+002
2.290867652767753e+009	3.873071e+002
2.344228815319901e+009	3.836707e+002
2.398832919019469e+009	3.796936e+002
2.454708915685008e+009	3.753685e+002
2.511886431509557e+009	3.706899e+002
2.570395782768840e+009	3.656548e+002
2.630267991895358e+009	3.602621e+002
2.691534803926891e+009	3.545127e+002
2.754228703338141e+009	3.484096e+002
2.818382931264428e+009	3.419576e+002
2.884031503126579e+009	3.351629e+002
2.951209226666359e+009	3.280333e+002
3.019951720401988e+009	3.205775e+002
3.090295432513562e+009	3.128053e+002
3.162277660168350e+009	3.047272e+002
3.235936569296252e+009	2.963544e+002
3.311311214825880e+009	2.876991e+002
3.388441561391993e+009	2.787740e+002
3.467368504525283e+009	2.695935e+002
3.548133892335721e+009	2.601735e+002
3.630780547700978e+009	2.505319e+002
3.715352290971689e+009	2.406898e+002
3.801893963205575e+009	2.306716e+002
3.890451449942768e+009	2.205060e+002
3.981071705534934e+009	2.102263e+002
4.073802778041087e+009	1.998705e+002
4.168693834703313e+009	1.894817e+002
4.265795188015884e+009	1.791071e+002
4.365158322401616e+009	1.687978e+002
4.466835921509586e+009	1.586070e+002
4.570881896148705e+009	1.485888e+002
4.677351412871935e+009	1.387964e+002
4.786300923226336e+009	1.292803e+002
4.897788193684413e+009	1.200865e+002
5.011872336272673e+009	1.112555e+002
5.128613839913597e+009	1.028205e+002
5.248074602497673e+009	9.480757e+001
5.370317963702473e+009	8.723463e+001
5.495408738576189e+009	8.011210e+001
5.623413251903433e+009	7.344325e+001
5.754399373371510e+009	6.722492e+001
5.888436553555828e+009	6.144842e+001
6.025595860743514e+009	5.610049e+001
6.165950018614757e+009	5.116434e+001
6.309573444801866e+009	4.662047e+001
6.456542290346486e+009	4.244760e+001
6.606934480075890e+009	3.862335e+001
6.760829753919745e+009	3.512489e+001
6.918309709189291e+009	3.192941e+001
7.079457843841303e+009	2.901451e+001
7.244359600749823e+009	2.635856e+001
7.413102413009095e+009	2.394083e+001
7.585775750291756e+009	2.174169e+001
7.762471166286833e+009	1.974266e+001
7.943282347242728e+009	1.792649e+001
8.128305161640904e+009	1.627716e+001
8.317637711026619e+009	1.477982e+001
8.511380382023671e+009	1.342081e+001
8.709635899560711e+009	1.218757e+001
8.912509381337357e+009	1.106860e+001
9.120108393558996e+009	1.005338e+001
9.332543007969807e+009	9.132316e+000
9.549925860214253e+009	8.296664e+000
9.772372209557997e+009	7.538476e+000
1.000000000000000e+010	6.850523e+000
