frequency	gain
2.344228815319914e+007	1.369825e+003
2.398832919019482e+007	1.370760e+003
2.454708915685022e+007	1.371656e+003
2.511886431509572e+007	1.372515e+003
2.570395782768855e+007	1.373337e+003
2.630267991895373e+007	1.374125e+003
2.691534803926906e+007	1.374880e+003
2.754228703338157e+007	1.375602e+003
2.818382931264444e+007	1.376294e+003
2.884031503126596e+007	1.376957e+003
2.951209226666375e+007	1.377592e+003
3.019951720402005e+007	1.378200e+003
3.090295432513579e+007	1.378782e+003
3.162277660168367e+007	1.379339e+003
3.235936569296270e+007	1.379873e+003
3.311311214825898e+007	1.380384e+003
3.388441561392012e+007	1.380874e+003
3.467368504525303e+007	1.381343e+003
3.548133892335741e+007	1.381792e+003
3.630780547701000e+007	1.382222e+003
3.715352290971711e+007	1.382634e+003
3.801893963205598e+007	1.383029e+003
3.890451449942792e+007	1.383407e+003
3.981071705534957e+007	1.383770e+003
4.073802778041112e+007	1.384118e+003
4.168693834703338e+007	1.384451e+003
4.265795188015910e+007	1.384771e+003
4.365158322401643e+007	1.385078e+003
4.466835921509614e+007	1.385373e+003
4.570881896148732e+007	1.385656e+003
4.677351412871964e+007	1.385929e+003
4.786300923226365e+007	1.386190e+003
4.897788193684442e+007	1.386442e+003
5.011872336272702e+007	1.386684e+003
5.128613839913628e+007	1.386917e+003
5.248074602497704e+007	1.387142e+003
5.370317963702505e+007	1.387359e+003
5.495408738576223e+007	1.387569e+003
5.623413251903468e+007	1.387771e+003
5.754399373371545e+007	1.387967e+003
5.888436553555865e+007	1.388157e+003
6.025595860743552e+007	1.388341e+003
6.165950018614795e+007	1.388519e+003
6.309573444801905e+007	1.388693e+003
6.456542290346527e+007	1.388862e+003
6.606934480075931e+007	1.389027e+003
6.760829753919788e+007	1.389188e+003
6.918309709189335e+007	1.389346e+003
7.079457843841347e+007	1.389500e+003
7.244359600749868e+007	1.389652e+003
7.413102413009141e+007	1.389801e+003
7.585775750291804e+007	1.389948e+003
7.762471166286883e+007	1.390093e+003
7.943282347242780e+007	1.390237e+003
8.128305161640957e+007	1.390379e+003
8.317637711026673e+007	1.390521e+003
8.511380382023726e+007	1.390661e+003
8.709635899560767e+007	1.390802e+003
8.912509381337415e+007	1.390943e+003
9.120108393559055e+007	1.391084e+003
9.332543007969867e+007	1.391225e+003
9.549925860214314e+007	1.391368e+003
9.772372209558059e+007	1.391512e+003
9.999999999999951e+007	1.391657e+003
1.023292992280749e+008	1.391804e+003
1.047128548050894e+008	1.391953e+003
1.071519305237601e+008	1.392105e+003
1.096478196143179e+008	1.392259e+003
1.122018454301958e+008	1.392416e+003
1.148153621496877e+008	1.392577e+003
1.174897554939523e+008	1.392742e+003
1.202264434617407e+008	1.392910e+003
1.230268770812375e+008	1.393083e+003
1.258925411794161e+008	1.393260e+003
1.288249551693127e+008	1.393443e+003
1.318256738556400e+008	1.393630e+003
1.348962882591646e+008	1.393824e+003
1.380384264602877e+008	1.394023e+003
1.412537544622746e+008	1.394229e+003
1.445439770745919e+008	1.394442e+003
1.479108388168199e+008	1.394662e+003
1.513561248436199e+008	1.394890e+003
1.548816618912472e+008	1.395125e+003
1.584893192461104e+008	1.395369e+003
1.621810097358921e+008	1.395622e+003
1.659586907437551e+008	1.395883e+003
1.698243652461734e+008	1.396155e+003
1.737800828749365e+008	1.396437e+003
1.778279410038912e+008	1.396729e+003
1.819700858609973e+008	1.397032e+003
1.862087136662856e+008	1.397346e+003
1.905460717963236e+008	1.397673e+003
1.949844599758034e+008	1.398012e+003
1.995262314968867e+008	1.398363e+003
2.041737944669517e+008	1.398729e+003
2.089296130854026e+008	1.399107e+003
2.137962089502219e+008	1.399500e+003
2.187761623949539e+008	1.399908e+003
2.238721138568325e+008	1.400331e+003
2.290867652767758e+008	1.400770e+003
2.344228815319907e+008	1.401225e+003
2.398832919019475e+008	1.401697e+003
2.454708915685014e+008	1.402185e+003
2.511886431509564e+008	1.402691e+003
2.570395782768847e+008	1.403215e+003
2.630267991895365e+008	1.403757e+003
2.691534803926898e+008	1.404318e+003
2.754228703338148e+008	1.404897e+003
2.818382931264435e+008	1.405495e+003
2.884031503126587e+008	1.406112e+003
2.951209226666366e+008	1.406749e+003
3.019951720401996e+008	1.407405e+003
3.090295432513570e+008	1.408079e+003
3.162277660168358e+008	1.408773e+003
3.235936569296261e+008	1.409486e+003
3.311311214825889e+008	1.410217e+003
3.388441561392003e+008	1.410965e+003
3.467368504525293e+008	1.411730e+003
3.548133892335731e+008	1.412511e+003
3.630780547700989e+008	1.413307e+003
3.715352290971701e+008	1.414116e+003
3.801893963205587e+008	1.414937e+003
3.890451449942780e+008	1.415767e+003
3.981071705534946e+008	1.416604e+003
4.073802778041100e+008	1.417446e+003
4.168693834703326e+008	1.418288e+003
4.265795188015897e+008	1.419128e+003
4.365158322401630e+008	1.419962e+003
4.466835921509600e+008	1.420783e+003
4.570881896148719e+008	1.421588e+003
4.677351412871949e+008	1.422369e+003
4.786300923226350e+008	1.423120e+003
4.897788193684428e+008	1.423832e+003
5.011872336272688e+008	1.424498e+003
5.128613839913613e+008	1.425106e+003
5.248074602497689e+008	1.425647e+003
5.370317963702489e+008	1.426107e+003
5.495408738576206e+008	1.426473e+003
5.623413251903451e+008	1.426730e+003
5.754399373371528e+008	1.426862e+003
5.888436553555847e+008	1.426849e+003
6.025595860743535e+008	1.426672e+003
6.165950018614777e+008	1.426309e+003
6.309573444801887e+008	1.425735e+003
6.456542290346509e+008	1.424925e+003
6.606934480075913e+008	1.423849e+003
6.760829753919768e+008	1.422477e+003
6.918309709189314e+008	1.420776e+003
7.079457843841326e+008	1.418712e+003
7.244359600749847e+008	1.416245e+003
7.413102413009120e+008	1.413337e+003
7.585775750291781e+008	1.409946e+003
7.762471166286860e+008	1.406027e+003
7.943282347242756e+008	1.401536e+003
8.128305161640931e+008	1.396425e+003
8.317637711026647e+008	1.390647e+003
8.511380382023701e+008	1.384155e+003
8.709635899560740e+008	1.376901e+003
8.912509381337388e+008	1.368838e+003
9.120108393559028e+008	1.359922e+003
9.332543007969840e+008	1.350110e+003
9.549925860214287e+008	1.339366e+003
9.772372209558033e+008	1.327655e+003
9.999999999999924e+008	1.314950e+003
1.023292992280746e+009	1.301230e+003
1.047128548050892e+009	1.286483e+003
1.071519305237598e+009	1.270704e+003
1.096478196143177e+009	1.253899e+003
1.122018454301955e+009	1.236083e+003
1.148153621496874e+009	1.217282e+003
1.174897554939520e+009	1.197532e+003
1.202264434617404e+009	1.176880e+003
1.230268770812372e+009	1.155383e+003
1.258925411794157e+009	1.133108e+003
1.288249551693124e+009	1.110129e+003
1.318256738556397e+009	1.086527e+003
1.348962882591643e+009	1.062391e+003
1.380384264602874e+009	1.037813e+003
1.412537544622743e+009	1.012890e+003
1.445439770745916e+009	9.877163e+002
1.479108388168196e+009	9.623907e+002
1.513561248436196e+009	9.370082e+002
1.548816618912469e+009	9.116616e+002
1.584893192461101e+009	8.864402e+002
1.621810097358917e+009	8.614282e+002
1.659586907437547e+009	8.367045e+002
1.698243652461730e+009	8.123420e+002
1.737800828749361e+009	7.884073e+002
1.778279410038908e+009	7.649604e+002
1.819700858609968e+009	7.420551e+002
1.862087136662852e+009	7.197385e+002
1.905460717963231e+009	6.980516e+002
